2024-11-26 16:16:33 [INFO] No data for KONEX on 20101119
2024-11-26 16:16:33 [INFO] No data for KONEX on 20101120
2024-11-26 16:16:33 [INFO] No data for KONEX on 20101121
2024-11-26 16:16:33 [INFO] No data for KONEX on 20101122
2024-11-26 16:16:33 [INFO] No data for KONEX on 20101123
2024-11-26 16:16:33 [INFO] No data for KONEX on 20101124
2024-11-26 16:16:34 [INFO] No data for KONEX on 20101125
2024-11-26 16:16:34 [INFO] No data for KONEX on 20101126
2024-11-26 16:16:34 [INFO] No data for KONEX on 20101127
2024-11-26 16:16:34 [INFO] No data for KONEX on 20101128
2024-11-26 16:16:34 [INFO] No data for KONEX on 20101129
2024-11-26 16:16:35 [INFO] No data for KONEX on 20101130
2024-11-26 16:16:35 [INFO] No data for KONEX on 20101201
2024-11-26 16:16:35 [INFO] No data for KONEX on 20101202
2024-11-26 16:16:35 [INFO] No data for KONEX on 20101203
2024-11-26 16:16:35 [INFO] No data for KONEX on 20101204
2024-11-26 16:16:36 [INFO] No data for KONEX on 20101205
2024-11-26 16:16:36 [INFO] No data for KONEX on 20101206
2024-11-26 16:16:36 [INFO] No data for KONEX on 20101207
2024-11-26 16:16:36 [INFO] No data for KONEX on 20101208
2024-11-26 16:16:36 [INFO] No data for KONEX on 20101209
2024-11-26 16:16:37 [INFO] No data for KONEX on 20101210
2024-11-26 16:16:37 [INFO] No data for KONEX on 20101211
2024-11-26 16:16:37 [INFO] No data for KONEX on 20101212
2024-11-26 16:16:37 [INFO] No data for KONEX on 20101213
2024-11-26 16:16:37 [INFO] No data for KONEX on 20101214
2024-11-26 16:16:38 [INFO] No data for KONEX on 20101215
2024-11-26 16:16:38 [INFO] No data for KONEX on 20101216
2024-11-26 16:16:38 [INFO] No data for KONEX on 20101217
2024-11-26 16:16:38 [INFO] No data for KONEX on 20101218
2024-11-26 16:16:38 [INFO] No data for KONEX on 20101219
